,city,country,woeid,lat,lng,trends
210,Amman,Jordan,1968902,31.95,35.9333,"['#عام_هجري_جديد_١٤٤٢', '#فلسطين_قضيتي', '#سنه1442', 'ليون', 'الامه الاسلاميه', '#راس_السنه_الهجريه', '#WorldHumanitarianDay', 'البايرن', 'الرابط البديل', 'باريس', 'ترامب', 'كومان', 'علي الجميع', 'المدارس الخاصه', 'إيران', 'America', 'الصين', 'jungkook', 'دعم الخبز', 'johnny', 'king', '#218news', '#الزرقاء', '#عمه_للكلاب', '#عمتك', '#AlBawabaBusiness', '#دفيع', '#الكاظمي', '#عمان_جو', '#الكويت', '#بيروت', '#الوقايع', '#covid19']"
211,Chelyabinsk,Russia,1997422,55.155,61.4387,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
212,Khabarovsk,Russia,2018708,48.455,135.12,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
213,Krasnodar,Russia,2028717,45.02,39.0,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
214,Krasnoyarsk,Russia,2029043,56.013999999999996,92.866,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
215,Samara,Russia,2077746,53.195,50.1513,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
216,Voronezh,Russia,2108210,51.73,39.27,"['Блин', 'Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
217,Yekaterinburg,Russia,2112237,56.85,60.6,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
218,Irkutsk,Russia,2121040,52.32,104.245,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Алексея', 'Омске', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'бавария', 'Венедиктов', 'Скрипалей', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'Ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'мали', 'Землей', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
219,Moscow,Russia,2122265,55.7522,37.6155,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
